LNTITLE,fips,TOT_EST_2016,CVAP_EST_2016
Hispanic or Latino,1021,3340,490
Total,1023,13285,10515
Not Hispanic or Latino,1023,13215,10475
American Indian or Alaska Native Alone,1023,4,4
Asian Alone,1023,4,4
Black or African American Alone,1023,5610,4400
Native Hawaiian or Other Pacific Islander Alone,1023,0,0
White Alone,1023,7470,5975
American Indian or Alaska Native and White,1023,40,35
Asian and White,1023,4,0
Black or African American and White,1023,30,4
American Indian or Alaska Native and Black or African American,1023,20,20
Remainder of Two or More Race Responses,1023,30,30
Hispanic or Latino,1023,75,40
Total,1025,24845,19195
Not Hispanic or Latino,1025,24805,19185
American Indian or Alaska Native Alone,1025,10,10
Asian Alone,1025,115,105
Black or African American Alone,1025,11305,8405
Native Hawaiian or Other Pacific Islander Alone,1025,35,15
White Alone,1025,13215,10580
American Indian or Alaska Native and White,1025,0,0
Asian and White,1025,0,0
Black or African American and White,1025,90,40
American Indian or Alaska Native and Black or African American,1025,40,40
Remainder of Two or More Race Responses,1025,0,0
Hispanic or Latino,1025,45,10
Total,1027,13485,10360
Not Hispanic or Latino,1027,13065,10275
American Indian or Alaska Native Alone,1027,120,65
Asian Alone,1027,0,0
Black or African American Alone,1027,2015,1500
Native Hawaiian or Other Pacific Islander Alone,1027,0,0
White Alone,1027,10820,8660
American Indian or Alaska Native and White,1027,25,25
Asian and White,1027,0,0
Black or African American and White,1027,85,30
American Indian or Alaska Native and Black or African American,1027,0,0
Remainder of Two or More Race Responses,1027,0,0
Hispanic or Latino,1027,420,85
Total,1029,14990,11295
Not Hispanic or Latino,1029,14640,11240
American Indian or Alaska Native Alone,1029,20,20
Asian Alone,1029,85,15
Black or African American Alone,1029,355,310
Native Hawaiian or Other Pacific Islander Alone,1029,0,0
White Alone,1029,13910,10815
American Indian or Alaska Native and White,1029,80,35
Asian and White,1029,4,4
Black or African American and White,1029,150,0
American Indian or Alaska Native and Black or African American,1029,40,40
Remainder of Two or More Race Responses,1029,0,0
Hispanic or Latino,1029,350,55
Total,1031,50990,37955
Not Hispanic or Latino,1031,47645,36375
American Indian or Alaska Native Alone,1031,420,295
Asian Alone,1031,625,350
Black or African American Alone,1031,8675,6540
Native Hawaiian or Other Pacific Islander Alone,1031,0,0
White Alone,1031,36400,28320
American Indian or Alaska Native and White,1031,545,455
Asian and White,1031,375,220
Black or African American and White,1031,335,25
American Indian or Alaska Native and Black or African American,1031,165,80
Remainder of Two or More Race Responses,1031,110,95
Hispanic or Latino,1031,3345,1580
Total,1033,54375,42235
Not Hispanic or Latino,1033,53070,41725
American Indian or Alaska Native Alone,1033,330,280
Asian Alone,1033,230,155
Black or African American Alone,1033,8510,6690
Native Hawaiian or Other Pacific Islander Alone,1033,30,30
White Alone,1033,42910,34185
American Indian or Alaska Native and White,1033,295,215
Asian and White,1033,105,10
Black or African American and White,1033,495,80
American Indian or Alaska Native and Black or African American,1033,25,20
Remainder of Two or More Race Responses,1033,145,65
Hispanic or Latino,1033,1305,510
Total,1035,12695,9825
Not Hispanic or Latino,1035,12475,9755
American Indian or Alaska Native Alone,1035,20,20
Asian Alone,1035,15,15
Black or African American Alone,1035,5870,4315
Native Hawaiian or Other Pacific Islander Alone,1035,0,0
White Alone,1035,6440,5320
American Indian or Alaska Native and White,1035,20,20
Asian and White,1035,0,0
Black or African American and White,1035,10,10
American Indian or Alaska Native and Black or African American,1035,70,25
Remainder of Two or More Race Responses,1035,35,35
Hispanic or Latino,1035,225,65
Total,1037,10865,8755
Not Hispanic or Latino,1037,10725,8720
American Indian or Alaska Native Alone,1037,10,10
Asian Alone,1037,0,0
Black or African American Alone,1037,3515,2830
Native Hawaiian or Other Pacific Islander Alone,1037,0,0
White Alone,1037,7065,5875
American Indian or Alaska Native and White,1037,10,10
Asian and White,1037,0,0
Black or African American and White,1037,125,0
American Indian or Alaska Native and Black or African American,1037,0,0
Remainder of Two or More Race Responses,1037,0,0
Hispanic or Latino,1037,140,35
Total,1039,37730,29295
Not Hispanic or Latino,1039,37150,28925
American Indian or Alaska Native Alone,1039,130,130
Asian Alone,1039,175,80
Black or African American Alone,1039,4895,3485
Native Hawaiian or Other Pacific Islander Alone,1039,25,15
White Alone,1039,31510,24950
American Indian or Alaska Native and White,1039,295,235
Asian and White,1039,35,25
Black or African American and White,1039,85,0
American Indian or Alaska Native and Black or African American,1039,0,0
Remainder of Two or More Race Responses,1039,0,0
Hispanic or Latino,1039,580,375
Total,1041,13895,10535
Not Hispanic or Latino,1041,13660,10460
American Indian or Alaska Native Alone,1041,125,90
Asian Alone,1041,230,75
Black or African American Alone,1041,3330,2535
Native Hawaiian or Other Pacific Islander Alone,1041,0,0
White Alone,1041,9865,7730
American Indian or Alaska Native and White,1041,15,10
Asian and White,1041,0,0
Black or African American and White,1041,80,0
American Indian or Alaska Native and Black or African American,1041,15,15
Remainder of Two or More Race Responses,1041,4,4
Hispanic or Latino,1041,235,75
Total,1043,81315,61625
Not Hispanic or Latino,1043,77890,60725
American Indian or Alaska Native Alone,1043,425,310
Asian Alone,1043,495,205
Black or African American Alone,1043,845,690
Native Hawaiian or Other Pacific Islander Alone,1043,15,15
White Alone,1043,75265,58885
American Indian or Alaska Native and White,1043,535,535
Asian and White,1043,0,0
Black or African American and White,1043,300,70
American Indian or Alaska Native and Black or African American,1043,0,0
Remainder of Two or More Race Responses,1043,10,10
Hispanic or Latino,1043,3425,900
Total,1045,49605,37405
Not Hispanic or Latino,1045,46685,35705
American Indian or Alaska Native Alone,1045,290,200
Asian Alone,1045,520,415
Black or African American Alone,1045,9640,6990
Native Hawaiian or Other Pacific Islander Alone,1045,10,0
White Alone,1045,34920,27400
American Indian or Alaska Native and White,1045,365,320
Asian and White,1045,245,75
Black or African American and White,1045,405,90
American Indian or Alaska Native and Black or African American,1045,110,110
Remainder of Two or More Race Responses,1045,180,110
Hispanic or Latino,1045,2920,1700
Total,1047,41425,30615
Not Hispanic or Latino,1047,41030,30465
American Indian or Alaska Native Alone,1047,90,30
Asian Alone,1047,165,45
Black or African American Alone,1047,28810,20515
Native Hawaiian or Other Pacific Islander Alone,1047,25,25
White Alone,1047,11630,9605
American Indian or Alaska Native and White,1047,60,60
Asian and White,1047,10,10
Black or African American and White,1047,25,4
American Indian or Alaska Native and Black or African American,1047,95,95
Remainder of Two or More Race Responses,1047,130,80
Hispanic or Latino,1047,395,145
Total,1049,70935,49580
Not Hispanic or Latino,1049,60995,47780
American Indian or Alaska Native Alone,1049,910,725
Asian Alone,1049,215,120
Black or African American Alone,1049,1050,775
Native Hawaiian or Other Pacific Islander Alone,1049,70,45
White Alone,1049,57485,45305
American Indian or Alaska Native and White,1049,895,670
Asian and White,1049,60,30
Black or African American and White,1049,245,70
American Indian or Alaska Native and Black or African American,1049,10,10
Remainder of Two or More Race Responses,1049,55,30
Hispanic or Latino,1049,9940,1800
Total,1051,80955,61485
Not Hispanic or Latino,1051,78690,60575
American Indian or Alaska Native Alone,1051,165,150
Asian Alone,1051,455,130
Black or African American Alone,1051,17090,12880
Native Hawaiian or Other Pacific Islander Alone,1051,0,0
White Alone,1051,59755,46760
American Indian or Alaska Native and White,1051,490,365
Asian and White,1051,290,170
Black or African American and White,1051,330,40
American Indian or Alaska Native and Black or African American,1051,10,10
Remainder of Two or More Race Responses,1051,100,65
Hispanic or Latino,1051,2270,910
Total,1053,37875,29330
Not Hispanic or Latino,1053,37095,28920
American Indian or Alaska Native Alone,1053,1315,940
Asian Alone,1053,40,40
Black or African American Alone,1053,12245,9235
Native Hawaiian or Other Pacific Islander Alone,1053,65,65
White Alone,1053,22975,18330
American Indian or Alaska Native and White,1053,220,200
Asian and White,1053,15,15
Black or African American and White,1053,175,50
American Indian or Alaska Native and Black or African American,1053,4,4
Remainder of Two or More Race Responses,1053,45,45
Hispanic or Latino,1053,780,415
Total,1055,103365,78780
Not Hispanic or Latino,1055,99610,78070
American Indian or Alaska Native Alone,1055,415,345
Asian Alone,1055,700,445
Black or African American Alone,1055,15800,11675
Native Hawaiian or Other Pacific Islander Alone,1055,65,30
White Alone,1055,81180,64645
American Indian or Alaska Native and White,1055,570,540
Asian and White,1055,160,70
Black or African American and White,1055,590,210
American Indian or Alaska Native and Black or African American,1055,50,40
Remainder of Two or More Race Responses,1055,75,70
Hispanic or Latino,1055,3750,710
Total,1057,16785,13155
Not Hispanic or Latino,1057,16640,13080
American Indian or Alaska Native Alone,1057,0,0
Asian Alone,1057,45,20
Black or African American Alone,1057,2055,1615
Native Hawaiian or Other Pacific Islander Alone,1057,0,0
White Alone,1057,14305,11315
American Indian or Alaska Native and White,1057,80,80
Asian and White,1057,0,0
Black or African American and White,1057,115,35
American Indian or Alaska Native and Black or African American,1057,0,0
Remainder of Two or More Race Responses,1057,45,20
Hispanic or Latino,1057,145,70
Total,1059,31575,21935
Not Hispanic or Latino,1059,26515,20770
American Indian or Alaska Native Alone,1059,235,235
Asian Alone,1059,100,10
Black or African American Alone,1059,1310,985
Native Hawaiian or Other Pacific Islander Alone,1059,20,20
White Alone,1059,24670,19410
American Indian or Alaska Native and White,1059,85,85
Asian and White,1059,10,0
Black or African American and White,1059,20,0
American Indian or Alaska Native and Black or African American,1059,4,4
Remainder of Two or More Race Responses,1059,60,25
Hispanic or Latino,1059,5055,1165
Total,1061,26765,20515
Not Hispanic or Latino,1061,25775,20150
American Indian or Alaska Native Alone,1061,125,120
Asian Alone,1061,105,4
Black or African American Alone,1061,2525,1925
Native Hawaiian or Other Pacific Islander Alone,1061,0,0
White Alone,1061,22500,17825
American Indian or Alaska Native and White,1061,240,185
Asian and White,1061,15,10
Black or African American and White,1061,245,75
American Indian or Alaska Native and Black or African American,1061,0,0
Remainder of Two or More Race Responses,1061,25,4
Hispanic or Latino,1061,990,365
Total,1063,8585,6595
Not Hispanic or Latino,1063,8535,6590
American Indian or Alaska Native Alone,1063,35,25
Asian Alone,1063,15,15
Black or African American Alone,1063,6980,5235
Native Hawaiian or Other Pacific Islander Alone,1063,0,0
White Alone,1063,1470,1285
American Indian or Alaska Native and White,1063,0,0
Asian and White,1063,0,0
Black or African American and White,1063,0,0
American Indian or Alaska Native and Black or African American,1063,0,0
Remainder of Two or More Race Responses,1063,35,35
Hispanic or Latino,1063,55,4
Total,1065,15160,11565
Not Hispanic or Latino,1065,14975,11435
American Indian or Alaska Native Alone,1065,50,15
Asian Alone,1065,15,15
Black or African American Alone,1065,8835,6575
Native Hawaiian or Other Pacific Islander Alone,1065,10,10
White Alone,1065,6065,4820
American Indian or Alaska Native and White,1065,0,0
Asian and White,1065,0,0
Black or African American and White,1065,0,0
American Indian or Alaska Native and Black or African American,1065,0,0
Remainder of Two or More Race Responses,1065,0,0
Hispanic or Latino,1065,185,130
Total,1067,17185,13335
Not Hispanic or Latino,1067,16750,13190
American Indian or Alaska Native Alone,1067,0,0
Asian Alone,1067,0,0
Black or African American Alone,1067,4795,3715
Native Hawaiian or Other Pacific Islander Alone,1067,0,0
White Alone,1067,11785,9395
American Indian or Alaska Native and White,1067,110,70
Asian and White,1067,0,0
Black or African American and White,1067,50,0
American Indian or Alaska Native and Black or African American,1067,0,0
Remainder of Two or More Race Responses,1067,10,10
Hispanic or Latino,1067,435,145
Total,1069,103890,78085
Not Hispanic or Latino,1069,100580,76690
American Indian or Alaska Native Alone,1069,355,290
Asian Alone,1069,865,550
Black or African American Alone,1069,27415,19470
Native Hawaiian or Other Pacific Islander Alone,1069,20,4
White Alone,1069,70200,55535
American Indian or Alaska Native and White,1069,530,420
Asian and White,1069,255,130
Black or African American and White,1069,715,175
American Indian or Alaska Native and Black or African American,1069,125,55
Remainder of Two or More Race Responses,1069,100,60
Hispanic or Latino,1069,3310,1395
Total,1071,52610,40730
Not Hispanic or Latino,1071,51175,40185
American Indian or Alaska Native Alone,1071,405,395
Asian Alone,1071,195,60
Black or African American Alone,1071,1740,1400
Native Hawaiian or Other Pacific Islander Alone,1071,20,20
White Alone,1071,47205,37315
American Indian or Alaska Native and White,1071,1180,950
Asian and White,1071,80,10
Black or African American and White,1071,300,0
American Indian or Alaska Native and Black or African American,1071,25,25
Remainder of Two or More Race Responses,1071,20,10
Hispanic or Latino,1071,1435,545
Total,1073,659095,491015
Not Hispanic or Latino,1073,634780,484995
American Indian or Alaska Native Alone,1073,1150,960
Asian Alone,1073,9995,4510
Black or African American Alone,1073,280405,206120
Native Hawaiian or Other Pacific Islander Alone,1073,175,65
White Alone,1073,334335,268690
American Indian or Alaska Native and White,1073,1935,1540
Asian and White,1073,1625,825
Black or African American and White,1073,3165,1105
American Indian or Alaska Native and Black or African American,1073,700,450
Remainder of Two or More Race Responses,1073,1295,730
Hispanic or Latino,1073,24315,6020
Total,1075,14065,10960
Not Hispanic or Latino,1075,13865,10845
American Indian or Alaska Native Alone,1075,40,40
Asian Alone,1075,0,0
Black or African American Alone,1075,1665,1270
Native Hawaiian or Other Pacific Islander Alone,1075,0,0
White Alone,1075,12115,9535
American Indian or Alaska Native and White,1075,0,0
Asian and White,1075,0,0
Black or African American and White,1075,45,0
American Indian or Alaska Native and Black or African American,1075,0,0
Remainder of Two or More Race Responses,1075,0,0
Hispanic or Latino,1075,200,115
Total,1077,92640,72735
Not Hispanic or Latino,1077,90425,71845
American Indian or Alaska Native Alone,1077,370,330
Asian Alone,1077,720,375
Black or African American Alone,1077,9095,7130
Native Hawaiian or Other Pacific Islander Alone,1077,15,15
White Alone,1077,78795,63510
American Indian or Alaska Native and White,1077,350,260
Asian and White,1077,140,60
Black or African American and White,1077,825,100
American Indian or Alaska Native and Black or African American,1077,40,35
Remainder of Two or More Race Responses,1077,80,35
Hispanic or Latino,1077,2215,890
Total,1079,33435,25995
Not Hispanic or Latino,1079,32740,25670
American Indian or Alaska Native Alone,1079,1655,1185
Asian Alone,1079,30,25
Black or African American Alone,1079,3800,2985
Native Hawaiian or Other Pacific Islander Alone,1079,0,0
White Alone,1079,25640,20345
American Indian or Alaska Native and White,1079,1355,1045
Asian and White,1079,4,4
Black or African American and White,1079,125,20
American Indian or Alaska Native and Black or African American,1079,45,45
Remainder of Two or More Race Responses,1079,90,20
Hispanic or Latino,1079,690,320
Total,1081,153945,115345
Not Hispanic or Latino,1081,148265,112230
American Indian or Alaska Native Alone,1081,180,145
Asian Alone,1081,5470,1395
Black or African American Alone,1081,35605,26440
Native Hawaiian or Other Pacific Islander Alone,1081,10,0
White Alone,1081,104900,83230
American Indian or Alaska Native and White,1081,700,495
Asian and White,1081,305,170
Black or African American and White,1081,825,250
American Indian or Alaska Native and Black or African American,1081,15,15
Remainder of Two or More Race Responses,1081,260,85
Hispanic or Latino,1081,5680,3115
Total,1083,90255,67250
Not Hispanic or Latino,1083,85120,65685
American Indian or Alaska Native Alone,1083,595,485
Asian Alone,1083,1115,750
Black or African American Alone,1083,11485,9160
Native Hawaiian or Other Pacific Islander Alone,1083,10,4
White Alone,1083,69955,54555
American Indian or Alaska Native and White,1083,500,395
Asian and White,1083,415,110
Black or African American and White,1083,910,170
American Indian or Alaska Native and Black or African American,1083,20,20
Remainder of Two or More Race Responses,1083,120,35
Hispanic or Latino,1083,5135,1565
Total,1085,10565,8100
Not Hispanic or Latino,1085,10515,8070
American Indian or Alaska Native Alone,1085,10,10
Asian Alone,1085,0,0
Black or African American Alone,1085,7885,5905
Native Hawaiian or Other Pacific Islander Alone,1085,0,0
White Alone,1085,2580,2145
American Indian or Alaska Native and White,1085,4,4
Asian and White,1085,0,0
Black or African American and White,1085,0,0
American Indian or Alaska Native and Black or African American,1085,0,0
Remainder of Two or More Race Responses,1085,35,4
Hispanic or Latino,1085,50,30
Total,1087,19685,16035
Not Hispanic or Latino,1087,19360,15860
American Indian or Alaska Native Alone,1087,55,50
Asian Alone,1087,45,10
Black or African American Alone,1087,16115,13140
Native Hawaiian or Other Pacific Islander Alone,1087,0,0
White Alone,1087,3035,2580
American Indian or Alaska Native and White,1087,25,25
Asian and White,1087,0,0
Black or African American and White,1087,60,35
American Indian or Alaska Native and Black or African American,1087,20,20
Remainder of Two or More Race Responses,1087,4,4
Hispanic or Latino,1087,325,175
Total,1089,349975,261510
Not Hispanic or Latino,1089,333610,255060
American Indian or Alaska Native Alone,1089,1925,1535
Asian Alone,1089,8545,4180
Black or African American Alone,1089,84275,62280
Native Hawaiian or Other Pacific Islander Alone,1089,320,285
White Alone,1089,229390,181785
American Indian or Alaska Native and White,1089,2600,2020
Asian and White,1089,2035,810
Black or African American and White,1089,2120,820
American Indian or Alaska Native and Black or African American,1089,505,370
Remainder of Two or More Race Responses,1089,1890,980
Hispanic or Latino,1089,16360,6450
Total,1091,20065,15310
Not Hispanic or Latino,1091,19875,15275
American Indian or Alaska Native Alone,1091,50,40
Asian Alone,1091,45,20
Black or African American Alone,1091,10585,7865
Native Hawaiian or Other Pacific Islander Alone,1091,0,0
White Alone,1091,9125,7295
American Indian or Alaska Native and White,1091,40,40
Asian and White,1091,0,0
Black or African American and White,1091,15,0
American Indian or Alaska Native and Black or African American,1091,15,15
Remainder of Two or More Race Responses,1091,0,0
Hispanic or Latino,1091,190,35
Total,1093,30240,23725
Not Hispanic or Latino,1093,29515,23415
American Indian or Alaska Native Alone,1093,115,105
Asian Alone,1093,100,80
Black or African American Alone,1093,980,900
Native Hawaiian or Other Pacific Islander Alone,1093,0,0
White Alone,1093,27845,22105
American Indian or Alaska Native and White,1093,120,115
Asian and White,1093,40,25
Black or African American and White,1093,135,10
American Indian or Alaska Native and Black or African American,1093,30,30
Remainder of Two or More Race Responses,1093,145,40
Hispanic or Latino,1093,725,310
Total,1095,94535,65925
Not Hispanic or Latino,1095,82325,63850
American Indian or Alaska Native Alone,1095,410,345
Asian Alone,1095,605,260
Black or African American Alone,1095,1975,1105
Native Hawaiian or Other Pacific Islander Alone,1095,20,20
White Alone,1095,77910,61250
American Indian or Alaska Native and White,1095,740,595
Asian and White,1095,120,65
Black or African American and White,1095,495,165
American Indian or Alaska Native and Black or African American,1095,30,30
Remainder of Two or More Race Responses,1095,15,10
Hispanic or Latino,1095,12210,2070
Total,1097,414290,308975
Not Hispanic or Latino,1097,403335,303720
American Indian or Alaska Native Alone,1097,2515,2035
Asian Alone,1097,8125,3980
Black or African American Alone,1097,146230,104865
Native Hawaiian or Other Pacific Islander Alone,1097,50,50
White Alone,1097,239875,189220
American Indian or Alaska Native and White,1097,2685,1895
Asian and White,1097,905,590
Black or African American and White,1097,1940,580
American Indian or Alaska Native and Black or African American,1097,670,330
Remainder of Two or More Race Responses,1097,345,170
Hispanic or Latino,1097,10955,5260
Total,1099,21975,16820
Not Hispanic or Latino,1099,21840,16775
American Indian or Alaska Native Alone,1099,250,190
Asian Alone,1099,50,40
Black or African American Alone,1099,9320,6935
Native Hawaiian or Other Pacific Islander Alone,1099,0,0
White Alone,1099,12015,9485
American Indian or Alaska Native and White,1099,140,120
Asian and White,1099,0,0
Black or African American and White,1099,60,4
American Indian or Alaska Native and Black or African American,1099,0,0
Remainder of Two or More Race Responses,1099,0,0
Hispanic or Latino,1099,135,45
Total,1101,227390,168750
Not Hispanic or Latino,1101,219860,166590
American Indian or Alaska Native Alone,1101,290,250
Asian Alone,1101,5565,1995
Black or African American Alone,1101,129095,95210
Native Hawaiian or Other Pacific Islander Alone,1101,35,35
White Alone,1101,81830,67635
American Indian or Alaska Native and White,1101,550,415
Asian and White,1101,865,380
Black or African American and White,1101,980,210
American Indian or Alaska Native and Black or African American,1101,155,145
Remainder of Two or More Race Responses,1101,500,310
Hispanic or Latino,1101,7530,2160
Total,1103,119555,88065
Not Hispanic or Latino,1103,110215,85925
American Indian or Alaska Native Alone,1103,630,480
Asian Alone,1103,800,400
Black or African American Alone,1103,14425,10620
Native Hawaiian or Other Pacific Islander Alone,1103,4,4
White Alone,1103,91735,72995
American Indian or Alaska Native and White,1103,1280,1030
Asian and White,1103,230,125
Black or African American and White,1103,1010,240
American Indian or Alaska Native and Black or African American,1103,40,4
Remainder of Two or More Race Responses,1103,65,20
Hispanic or Latino,1103,9340,2135
Total,1105,9855,7625
Not Hispanic or Latino,1105,9760,7530
American Indian or Alaska Native Alone,1105,4,4
Asian Alone,1105,20,4
Black or African American Alone,1105,6765,4955
Native Hawaiian or Other Pacific Islander Alone,1105,0,0
White Alone,1105,2920,2555
American Indian or Alaska Native and White,1105,0,0
Asian and White,1105,10,10
Black or African American and White,1105,45,0
American Indian or Alaska Native and Black or African American,1105,0,0
Remainder of Two or More Race Responses,1105,0,0
Hispanic or Latino,1105,95,95
Total,1107,20040,15585
Not Hispanic or Latino,1107,19555,15405
American Indian or Alaska Native Alone,1107,25,25
Asian Alone,1107,10,10
Black or African American Alone,1107,8385,6305
Native Hawaiian or Other Pacific Islander Alone,1107,10,10
White Alone,1107,11000,8990
American Indian or Alaska Native and White,1107,20,20
Asian and White,1107,4,4
Black or African American and White,1107,70,15
American Indian or Alaska Native and Black or African American,1107,4,4
Remainder of Two or More Race Responses,1107,20,10
Hispanic or Latino,1107,485,180
Total,1109,33275,25630
Not Hispanic or Latino,1109,32545,25390
American Indian or Alaska Native Alone,1109,215,160
Asian Alone,1109,705,190
Black or African American Alone,1109,12450,9340
Native Hawaiian or Other Pacific Islander Alone,1109,4,4
White Alone,1109,18820,15505
American Indian or Alaska Native and White,1109,135,105
Asian and White,1109,15,4
Black or African American and White,1109,95,4
American Indian or Alaska Native and Black or African American,1109,20,20
Remainder of Two or More Race Responses,1109,85,60
Hispanic or Latino,1109,730,240
Total,1111,22615,17375
Not Hispanic or Latino,1111,21955,17200
American Indian or Alaska Native Alone,1111,75,75
Asian Alone,1111,50,40
Black or African American Alone,1111,4340,3315
Native Hawaiian or Other Pacific Islander Alone,1111,45,30
White Alone,1111,17060,13625
American Indian or Alaska Native and White,1111,85,85
Asian and White,1111,30,0
Black or African American and White,1111,240,20
American Indian or Alaska Native and Black or African American,1111,0,0
Remainder of Two or More Race Responses,1111,25,10
Hispanic or Latino,1111,660,175
Total,1113,58635,43135
Not Hispanic or Latino,1113,55660,41680
American Indian or Alaska Native Alone,1113,215,175
Asian Alone,1113,400,305
Black or African American Alone,1113,24655,18335
Native Hawaiian or Other Pacific Islander Alone,1113,130,30
White Alone,1113,28805,22420
American Indian or Alaska Native and White,1113,275,170
Asian and White,1113,280,100
Black or African American and White,1113,700,15
American Indian or Alaska Native and Black or African American,1113,85,85
Remainder of Two or More Race Responses,1113,120,45
Hispanic or Latino,1113,2975,1450
