lntitle,fips,tot_est_2020,cvap_est_2020
American Indian or Alaska Native and Black or African American,1013,4,4
Remainder of Two or More Race Responses,1013,0,0
Hispanic or Latino,1013,275,165
Total,1015,114620,88205
Not Hispanic or Latino,1015,110265,86470
American Indian or Alaska Native Alone,1015,235,205
Asian Alone,1015,1005,540
Black or African American Alone,1015,23745,17950
Native Hawaiian or Other Pacific Islander Alone,1015,15,15
White Alone,1015,82800,66470
American Indian or Alaska Native and White,1015,745,660
Asian and White,1015,290,120
Black or African American and White,1015,995,245
American Indian or Alaska Native and Black or African American,1015,75,70
Remainder of Two or More Race Responses,1015,355,195
Hispanic or Latino,1015,4350,1735
Total,1017,33660,26170
Not Hispanic or Latino,1017,32860,25905
American Indian or Alaska Native Alone,1017,110,110
Asian Alone,1017,375,135
Black or African American Alone,1017,13330,10265
Native Hawaiian or Other Pacific Islander Alone,1017,0,0
White Alone,1017,18700,15265
American Indian or Alaska Native and White,1017,65,40
Asian and White,1017,50,15
Black or African American and White,1017,225,70
American Indian or Alaska Native and Black or African American,1017,0,0
Remainder of Two or More Race Responses,1017,0,0
Hispanic or Latino,1017,800,265
Total,1019,25905,20580
Not Hispanic or Latino,1019,25490,20390
American Indian or Alaska Native Alone,1019,280,40
Asian Alone,1019,65,35
Black or African American Alone,1019,1190,950
Native Hawaiian or Other Pacific Islander Alone,1019,0,0
White Alone,1019,23760,19275
American Indian or Alaska Native and White,1019,75,75
Asian and White,1019,4,4
Black or African American and White,1019,120,15
American Indian or Alaska Native and Black or African American,1019,0,0
Remainder of Two or More Race Responses,1019,0,0
Hispanic or Latino,1019,415,185
Total,1021,44055,32310
Not Hispanic or Latino,1021,40600,31310
American Indian or Alaska Native Alone,1021,40,40
Asian Alone,1021,205,65
Black or African American Alone,1021,4040,3105
Native Hawaiian or Other Pacific Islander Alone,1021,0,0
White Alone,1021,35345,27645
American Indian or Alaska Native and White,1021,265,165
Asian and White,1021,10,0
Black or African American and White,1021,500,165
American Indian or Alaska Native and Black or African American,1021,95,95
Remainder of Two or More Race Responses,1021,100,25
Hispanic or Latino,1021,3455,1000
Total,1023,12925,10285
Not Hispanic or Latino,1023,12870,10245
American Indian or Alaska Native Alone,1023,10,10
Asian Alone,1023,15,10
Black or African American Alone,1023,5500,4330
Native Hawaiian or Other Pacific Islander Alone,1023,0,0
White Alone,1023,7295,5865
American Indian or Alaska Native and White,1023,15,15
Asian and White,1023,4,0
Black or African American and White,1023,10,4
American Indian or Alaska Native and Black or African American,1023,15,15
Remainder of Two or More Race Responses,1023,4,0
Hispanic or Latino,1023,55,40
Total,1025,24130,18825
Not Hispanic or Latino,1025,24050,18765
American Indian or Alaska Native Alone,1025,25,25
Asian Alone,1025,105,70
Black or African American Alone,1025,11045,8355
Native Hawaiian or Other Pacific Islander Alone,1025,0,0
White Alone,1025,12720,10240
American Indian or Alaska Native and White,1025,25,10
Asian and White,1025,20,4
Black or African American and White,1025,110,65
American Indian or Alaska Native and Black or African American,1025,0,0
Remainder of Two or More Race Responses,1025,0,0
Hispanic or Latino,1025,80,60
Total,1027,13335,10380
Not Hispanic or Latino,1027,12920,10265
American Indian or Alaska Native Alone,1027,0,0
Asian Alone,1027,20,15
Black or African American Alone,1027,2085,1590
Native Hawaiian or Other Pacific Islander Alone,1027,0,0
White Alone,1027,10715,8640
American Indian or Alaska Native and White,1027,10,10
Asian and White,1027,0,0
Black or African American and White,1027,80,4
American Indian or Alaska Native and Black or African American,1027,4,4
Remainder of Two or More Race Responses,1027,0,0
Hispanic or Latino,1027,420,115
Total,1029,14915,11395
Not Hispanic or Latino,1029,14550,11275
American Indian or Alaska Native Alone,1029,15,15
Asian Alone,1029,4,4
Black or African American Alone,1029,410,405
Native Hawaiian or Other Pacific Islander Alone,1029,0,0
White Alone,1029,13840,10745
American Indian or Alaska Native and White,1029,70,70
Asian and White,1029,25,25
Black or African American and White,1029,175,0
American Indian or Alaska Native and Black or African American,1029,15,15
Remainder of Two or More Race Responses,1029,0,0
Hispanic or Latino,1029,365,120
Total,1031,51660,38415
Not Hispanic or Latino,1031,47900,36560
American Indian or Alaska Native Alone,1031,600,465
Asian Alone,1031,750,280
Black or African American Alone,1031,8695,6635
Native Hawaiian or Other Pacific Islander Alone,1031,0,0
White Alone,1031,36285,28330
American Indian or Alaska Native and White,1031,385,320
Asian and White,1031,315,180
Black or African American and White,1031,555,170
American Indian or Alaska Native and Black or African American,1031,230,145
Remainder of Two or More Race Responses,1031,85,40
Hispanic or Latino,1031,3765,1855
Total,1033,54770,42620
Not Hispanic or Latino,1033,53215,42130
American Indian or Alaska Native Alone,1033,320,290
Asian Alone,1033,260,135
Black or African American Alone,1033,8810,6845
Native Hawaiian or Other Pacific Islander Alone,1033,50,50
White Alone,1033,42870,34350
American Indian or Alaska Native and White,1033,255,255
Asian and White,1033,135,65
Black or African American and White,1033,365,65
American Indian or Alaska Native and Black or African American,1033,25,25
Remainder of Two or More Race Responses,1033,125,45
Hispanic or Latino,1033,1555,490
Total,1035,12395,9765
Not Hispanic or Latino,1035,12310,9740
American Indian or Alaska Native Alone,1035,25,25
Asian Alone,1035,55,55
Black or African American Alone,1035,5920,4490
Native Hawaiian or Other Pacific Islander Alone,1035,0,0
White Alone,1035,6205,5150
American Indian or Alaska Native and White,1035,15,15
Asian and White,1035,85,0
Black or African American and White,1035,4,4
American Indian or Alaska Native and Black or African American,1035,0,0
Remainder of Two or More Race Responses,1035,0,0
Hispanic or Latino,1035,85,25
Total,1037,10755,8905
Not Hispanic or Latino,1037,10650,8800
American Indian or Alaska Native Alone,1037,10,10
Asian Alone,1037,0,0
Black or African American Alone,1037,3615,2835
Native Hawaiian or Other Pacific Islander Alone,1037,0,0
White Alone,1037,7025,5955
American Indian or Alaska Native and White,1037,0,0
Asian and White,1037,0,0
Black or African American and White,1037,0,0
American Indian or Alaska Native and Black or African American,1037,0,0
Remainder of Two or More Race Responses,1037,0,0
Hispanic or Latino,1037,110,105
Total,1039,37200,28895
Not Hispanic or Latino,1039,36570,28530
American Indian or Alaska Native Alone,1039,20,20
Asian Alone,1039,140,85
Black or African American Alone,1039,4980,3690
Native Hawaiian or Other Pacific Islander Alone,1039,35,0
White Alone,1039,30990,24540
American Indian or Alaska Native and White,1039,130,110
Asian and White,1039,65,40
Black or African American and White,1039,195,30
American Indian or Alaska Native and Black or African American,1039,0,0
Remainder of Two or More Race Responses,1039,10,10
Hispanic or Latino,1039,630,360
Total,1041,13845,10615
Not Hispanic or Latino,1041,13735,10560
American Indian or Alaska Native Alone,1041,90,75
Asian Alone,1041,175,70
Black or African American Alone,1041,3200,2575
Native Hawaiian or Other Pacific Islander Alone,1041,10,0
White Alone,1041,9825,7705
American Indian or Alaska Native and White,1041,55,45
Asian and White,1041,4,4
Black or African American and White,1041,335,50
American Indian or Alaska Native and Black or African American,1041,20,20
Remainder of Two or More Race Responses,1041,15,15
Hispanic or Latino,1041,110,55
Total,1043,82855,62990
Not Hispanic or Latino,1043,79240,61770
American Indian or Alaska Native Alone,1043,235,155
Asian Alone,1043,315,215
Black or African American Alone,1043,1040,840
Native Hawaiian or Other Pacific Islander Alone,1043,0,0
White Alone,1043,76245,59765
American Indian or Alaska Native and White,1043,765,610
Asian and White,1043,240,50
Black or African American and White,1043,260,25
American Indian or Alaska Native and Black or African American,1043,4,0
Remainder of Two or More Race Responses,1043,135,115
Hispanic or Latino,1043,3610,1220
Total,1045,49275,37105
Not Hispanic or Latino,1045,46065,35405
American Indian or Alaska Native Alone,1045,280,185
Asian Alone,1045,605,290
Black or African American Alone,1045,9815,7280
Native Hawaiian or Other Pacific Islander Alone,1045,4,0
White Alone,1045,33925,26840
American Indian or Alaska Native and White,1045,355,300
Asian and White,1045,245,140
Black or African American and White,1045,530,210
American Indian or Alaska Native and Black or African American,1045,110,90
Remainder of Two or More Race Responses,1045,200,65
Hispanic or Latino,1045,3210,1700
Total,1047,39150,29380
Not Hispanic or Latino,1047,38730,29135
American Indian or Alaska Native Alone,1047,35,30
Asian Alone,1047,220,45
Black or African American Alone,1047,27580,20095
Native Hawaiian or Other Pacific Islander Alone,1047,4,4
White Alone,1047,10695,8860
American Indian or Alaska Native and White,1047,115,45
Asian and White,1047,10,10
Black or African American and White,1047,15,0
American Indian or Alaska Native and Black or African American,1047,10,10
Remainder of Two or More Race Responses,1047,35,35
Hispanic or Latino,1047,420,245
Total,1049,71310,49665
Not Hispanic or Latino,1049,60935,47950
American Indian or Alaska Native Alone,1049,765,610
Asian Alone,1049,85,85
Black or African American Alone,1049,1020,830
Native Hawaiian or Other Pacific Islander Alone,1049,150,45
White Alone,1049,57380,45500
American Indian or Alaska Native and White,1049,890,730
Asian and White,1049,235,15
Black or African American and White,1049,295,55
American Indian or Alaska Native and Black or African American,1049,0,0
Remainder of Two or More Race Responses,1049,115,80
Hispanic or Latino,1049,10375,1715
Total,1051,81145,62010
Not Hispanic or Latino,1051,78740,61125
American Indian or Alaska Native Alone,1051,210,210
Asian Alone,1051,440,230
Black or African American Alone,1051,17240,13095
Native Hawaiian or Other Pacific Islander Alone,1051,0,0
White Alone,1051,59555,46930
American Indian or Alaska Native and White,1051,480,340
Asian and White,1051,330,185
Black or African American and White,1051,375,60
American Indian or Alaska Native and Black or African American,1051,10,10
Remainder of Two or More Race Responses,1051,100,70
Hispanic or Latino,1051,2405,880
Total,1053,37055,28700
Not Hispanic or Latino,1053,36190,28165
American Indian or Alaska Native Alone,1053,1480,1075
Asian Alone,1053,100,55
Black or African American Alone,1053,11850,8945
Native Hawaiian or Other Pacific Islander Alone,1053,55,55
White Alone,1053,22360,17775
American Indian or Alaska Native and White,1053,135,130
Asian and White,1053,0,0
Black or African American and White,1053,140,65
American Indian or Alaska Native and Black or African American,1053,30,30
Remainder of Two or More Race Responses,1053,35,35
Hispanic or Latino,1053,865,535
Total,1055,102750,78975
Not Hispanic or Latino,1055,98765,77735
American Indian or Alaska Native Alone,1055,375,300
Asian Alone,1055,765,335
Black or African American Alone,1055,15860,11990
Native Hawaiian or Other Pacific Islander Alone,1055,25,25
White Alone,1055,80055,64170
American Indian or Alaska Native and White,1055,630,575
Asian and White,1055,155,70
Black or African American and White,1055,775,205
American Indian or Alaska Native and Black or African American,1055,10,10
Remainder of Two or More Race Responses,1055,115,50
Hispanic or Latino,1055,3980,1240
Total,1057,16495,12985
Not Hispanic or Latino,1057,16195,12815
American Indian or Alaska Native Alone,1057,0,0
Asian Alone,1057,80,40
Black or African American Alone,1057,1845,1470
Native Hawaiian or Other Pacific Islander Alone,1057,4,0
White Alone,1057,13935,11125
American Indian or Alaska Native and White,1057,115,115
Asian and White,1057,4,0
Black or African American and White,1057,175,45
American Indian or Alaska Native and Black or African American,1057,20,20
Remainder of Two or More Race Responses,1057,25,0
Hispanic or Latino,1057,295,170
Total,1059,31465,21850
Not Hispanic or Latino,1059,26065,20310
American Indian or Alaska Native Alone,1059,90,90
Asian Alone,1059,115,4
Black or African American Alone,1059,1350,1025
Native Hawaiian or Other Pacific Islander Alone,1059,0,0
White Alone,1059,24190,19075
American Indian or Alaska Native and White,1059,235,90
Asian and White,1059,4,0
Black or African American and White,1059,40,0
American Indian or Alaska Native and Black or African American,1059,0,0
Remainder of Two or More Race Responses,1059,45,30
Hispanic or Latino,1059,5400,1535
Total,1061,26415,20430
Not Hispanic or Latino,1061,25365,19920
American Indian or Alaska Native Alone,1061,235,225
Asian Alone,1061,115,65
Black or African American Alone,1061,2485,1900
Native Hawaiian or Other Pacific Islander Alone,1061,10,10
White Alone,1061,22150,17560
American Indian or Alaska Native and White,1061,150,105
Asian and White,1061,4,4
Black or African American and White,1061,190,50
American Indian or Alaska Native and Black or African American,1061,0,0
Remainder of Two or More Race Responses,1061,20,4
Hispanic or Latino,1061,1050,505
Total,1063,8325,6435
Not Hispanic or Latino,1063,8180,6425
American Indian or Alaska Native Alone,1063,35,20
Asian Alone,1063,0,0
Black or African American Alone,1063,6645,5155
Native Hawaiian or Other Pacific Islander Alone,1063,0,0
White Alone,1063,1435,1220
American Indian or Alaska Native and White,1063,0,0
Asian and White,1063,35,4
Black or African American and White,1063,0,0
American Indian or Alaska Native and Black or African American,1063,0,0
Remainder of Two or More Race Responses,1063,25,25
Hispanic or Latino,1063,145,10
Total,1065,14810,11345
Not Hispanic or Latino,1065,14805,11340
American Indian or Alaska Native Alone,1065,30,10
Asian Alone,1065,35,10
Black or African American Alone,1065,8790,6650
Native Hawaiian or Other Pacific Islander Alone,1065,0,0
White Alone,1065,5885,4665
American Indian or Alaska Native and White,1065,0,0
Asian and White,1065,0,0
Black or African American and White,1065,65,10
American Indian or Alaska Native and Black or African American,1065,0,0
Remainder of Two or More Race Responses,1065,0,0
Hispanic or Latino,1065,4,4
Total,1067,17135,13480
Not Hispanic or Latino,1067,16685,13220
American Indian or Alaska Native Alone,1067,30,30
Asian Alone,1067,70,30
Black or African American Alone,1067,4550,3610
Native Hawaiian or Other Pacific Islander Alone,1067,15,0
White Alone,1067,11850,9475
American Indian or Alaska Native and White,1067,100,55
Asian and White,1067,10,10
Black or African American and White,1067,35,4
American Indian or Alaska Native and Black or African American,1067,0,0
Remainder of Two or More Race Responses,1067,20,4
Hispanic or Latino,1067,450,260
Total,1069,104700,79145
Not Hispanic or Latino,1069,101225,77765
American Indian or Alaska Native Alone,1069,260,220
Asian Alone,1069,975,645
Black or African American Alone,1069,28030,20130
Native Hawaiian or Other Pacific Islander Alone,1069,45,20
White Alone,1069,69875,55680
American Indian or Alaska Native and White,1069,665,530
Asian and White,1069,255,105
Black or African American and White,1069,875,275
American Indian or Alaska Native and Black or African American,1069,50,35
Remainder of Two or More Race Responses,1069,185,120
Hispanic or Latino,1069,3480,1380
Total,1071,51850,40545
Not Hispanic or Latino,1071,50335,39920
American Indian or Alaska Native Alone,1071,580,495
Asian Alone,1071,230,120
Black or African American Alone,1071,1785,1400
Native Hawaiian or Other Pacific Islander Alone,1071,55,45
White Alone,1071,46315,36960
American Indian or Alaska Native and White,1071,1015,825
Asian and White,1071,70,35
Black or African American and White,1071,235,10
American Indian or Alaska Native and Black or African American,1071,0,0
Remainder of Two or More Race Responses,1071,45,30
Hispanic or Latino,1071,1520,630
Total,1073,659680,492660
Not Hispanic or Latino,1073,634125,486375
American Indian or Alaska Native Alone,1073,1050,935
Asian Alone,1073,10585,4890
Black or African American Alone,1073,283270,210405
Native Hawaiian or Other Pacific Islander Alone,1073,200,105
White Alone,1073,329725,265200
American Indian or Alaska Native and White,1073,2030,1575
Asian and White,1073,2055,960
Black or African American and White,1073,3320,1220
American Indian or Alaska Native and Black or African American,1073,495,425
Remainder of Two or More Race Responses,1073,1390,665
Hispanic or Latino,1073,25555,6285
Total,1075,13885,10765
Not Hispanic or Latino,1075,13655,10680
American Indian or Alaska Native Alone,1075,4,4
Asian Alone,1075,15,15
Black or African American Alone,1075,1570,1175
Native Hawaiian or Other Pacific Islander Alone,1075,0,0
White Alone,1075,11955,9395
American Indian or Alaska Native and White,1075,80,80
Asian and White,1075,4,4
Black or African American and White,1075,25,4
American Indian or Alaska Native and Black or African American,1075,0,0
Remainder of Two or More Race Responses,1075,0,0
Hispanic or Latino,1075,230,85
Total,1077,92555,73190
Not Hispanic or Latino,1077,90080,72045
American Indian or Alaska Native Alone,1077,365,300
Asian Alone,1077,655,285
Black or African American Alone,1077,9390,7080
Native Hawaiian or Other Pacific Islander Alone,1077,60,35
White Alone,1077,78470,63660
American Indian or Alaska Native and White,1077,435,435
Asian and White,1077,185,35
Black or African American and White,1077,475,170
American Indian or Alaska Native and Black or African American,1077,0,0
Remainder of Two or More Race Responses,1077,55,45
Hispanic or Latino,1077,2475,1150
Total,1079,33060,25655
Not Hispanic or Latino,1079,32335,25415
American Indian or Alaska Native Alone,1079,1850,1510
Asian Alone,1079,65,40
Black or African American Alone,1079,3495,2945
Native Hawaiian or Other Pacific Islander Alone,1079,25,25
White Alone,1079,25330,20045
American Indian or Alaska Native and White,1079,1170,820
Asian and White,1079,65,15
Black or African American and White,1079,85,4
American Indian or Alaska Native and Black or African American,1079,240,15
Remainder of Two or More Race Responses,1079,0,0
Hispanic or Latino,1079,725,240
Total,1081,161150,121500
Not Hispanic or Latino,1081,155225,118135
American Indian or Alaska Native Alone,1081,295,295
Asian Alone,1081,6625,1665
Black or African American Alone,1081,36645,27290
Native Hawaiian or Other Pacific Islander Alone,1081,0,0
White Alone,1081,108995,87250
American Indian or Alaska Native and White,1081,610,430
Asian and White,1081,440,205
Black or African American and White,1081,1060,660
American Indian or Alaska Native and Black or African American,1081,105,55
Remainder of Two or More Race Responses,1081,450,290
Hispanic or Latino,1081,5925,3370
Total,1083,94725,71280
Not Hispanic or Latino,1083,89025,69355
American Indian or Alaska Native Alone,1083,650,520
Asian Alone,1083,1300,725
Black or African American Alone,1083,12900,10030
Native Hawaiian or Other Pacific Islander Alone,1083,55,55
White Alone,1083,72540,57135
American Indian or Alaska Native and White,1083,545,425
Asian and White,1083,405,265
Black or African American and White,1083,455,140
American Indian or Alaska Native and Black or African American,1083,20,20
Remainder of Two or More Race Responses,1083,155,35
Hispanic or Latino,1083,5700,1925
Total,1085,10080,7740
Not Hispanic or Latino,1085,10030,7715
American Indian or Alaska Native Alone,1085,15,15
Asian Alone,1085,0,0
Black or African American Alone,1085,7495,5690
Native Hawaiian or Other Pacific Islander Alone,1085,0,0
White Alone,1085,2485,1980
American Indian or Alaska Native and White,1085,10,10
Asian and White,1085,0,0
Black or African American and White,1085,15,10
American Indian or Alaska Native and Black or African American,1085,10,10
Remainder of Two or More Race Responses,1085,0,0
Hispanic or Latino,1085,50,25
Total,1087,18710,15410
Not Hispanic or Latino,1087,18555,15320
American Indian or Alaska Native Alone,1087,15,15
Asian Alone,1087,30,30
Black or African American Alone,1087,15455,12705
Native Hawaiian or Other Pacific Islander Alone,1087,0,0
White Alone,1087,2965,2495
American Indian or Alaska Native and White,1087,40,40
Asian and White,1087,0,0
Black or African American and White,1087,50,35
American Indian or Alaska Native and Black or African American,1087,4,4
Remainder of Two or More Race Responses,1087,4,4
Hispanic or Latino,1087,150,90
Total,1089,362275,273525
Not Hispanic or Latino,1089,344350,266275
American Indian or Alaska Native Alone,1089,2055,1665
Asian Alone,1089,9535,5210
Black or African American Alone,1089,87580,66165
Native Hawaiian or Other Pacific Islander Alone,1089,290,215
White Alone,1089,234930,187395
American Indian or Alaska Native and White,1089,2625,2095
Asian and White,1089,2045,1065
Black or African American and White,1089,2800,1190
American Indian or Alaska Native and Black or African American,1089,705,485
Remainder of Two or More Race Responses,1089,1775,795
Hispanic or Latino,1089,17930,7245
Total,1091,19320,14855
Not Hispanic or Latino,1091,19125,14830
American Indian or Alaska Native Alone,1091,20,20
Asian Alone,1091,0,0
Black or African American Alone,1091,10350,7830
Native Hawaiian or Other Pacific Islander Alone,1091,0,0
White Alone,1091,8670,6915
American Indian or Alaska Native and White,1091,25,25
Asian and White,1091,0,0
Black or African American and White,1091,55,35
American Indian or Alaska Native and Black or African American,1091,4,4
Remainder of Two or More Race Responses,1091,4,4
Hispanic or Latino,1091,195,30
Total,1093,29865,23435
Not Hispanic or Latino,1093,29090,23085
American Indian or Alaska Native Alone,1093,140,115
Asian Alone,1093,55,45
Black or African American Alone,1093,1025,870
Native Hawaiian or Other Pacific Islander Alone,1093,0,0
White Alone,1093,27435,21840
American Indian or Alaska Native and White,1093,115,90
Asian and White,1093,60,20
Black or African American and White,1093,185,60
American Indian or Alaska Native and Black or African American,1093,25,0
Remainder of Two or More Race Responses,1093,50,45
Hispanic or Latino,1093,775,350
Total,1095,95645,66605
Not Hispanic or Latino,1095,82285,63600
American Indian or Alaska Native Alone,1095,350,340
Asian Alone,1095,580,245
Black or African American Alone,1095,2550,1300
Native Hawaiian or Other Pacific Islander Alone,1095,50,50
White Alone,1095,77360,60795
American Indian or Alaska Native and White,1095,835,650
Asian and White,1095,140,90
Black or African American and White,1095,365,85
American Indian or Alaska Native and Black or African American,1095,25,25
Remainder of Two or More Race Responses,1095,30,25
Hispanic or Latino,1095,13355,3005
Total,1097,414115,311260
Not Hispanic or Latino,1097,402095,304935
American Indian or Alaska Native Alone,1097,3140,2460
Asian Alone,1097,8275,4735
Black or African American Alone,1097,147780,106735
Native Hawaiian or Other Pacific Islander Alone,1097,65,50
White Alone,1097,236235,186985
American Indian or Alaska Native and White,1097,2100,1575
Asian and White,1097,1280,725
Black or African American and White,1097,2265,1140
American Indian or Alaska Native and Black or African American,1097,395,265
Remainder of Two or More Race Responses,1097,565,270
Hispanic or Latino,1097,12020,6325
Total,1099,21270,16480
Not Hispanic or Latino,1099,21190,16440
American Indian or Alaska Native Alone,1099,370,265
Asian Alone,1099,60,35
Black or African American Alone,1099,9010,6765
Native Hawaiian or Other Pacific Islander Alone,1099,4,4
White Alone,1099,11545,9235
American Indian or Alaska Native and White,1099,20,10
Asian and White,1099,0,0
Black or African American and White,1099,95,40
American Indian or Alaska Native and Black or African American,1099,0,0
Remainder of Two or More Race Responses,1099,85,85
Hispanic or Latino,1099,80,45
Total,1101,226940,167710
Not Hispanic or Latino,1101,218965,165635
American Indian or Alaska Native Alone,1101,335,290
Asian Alone,1101,6630,2335
Black or African American Alone,1101,131310,97430
Native Hawaiian or Other Pacific Islander Alone,1101,50,50
White Alone,1101,77045,63895
American Indian or Alaska Native and White,1101,525,410
Asian and White,1101,830,370
Black or African American and White,1101,1410,375
American Indian or Alaska Native and Black or African American,1101,205,175
Remainder of Two or More Race Responses,1101,625,305
Hispanic or Latino,1101,7980,2075
Total,1103,119215,88115
Not Hispanic or Latino,1103,109250,85645
American Indian or Alaska Native Alone,1103,565,445
Asian Alone,1103,760,470
Black or African American Alone,1103,15140,11095
Native Hawaiian or Other Pacific Islander Alone,1103,65,25
White Alone,1103,90235,72075
American Indian or Alaska Native and White,1103,1350,1110
Asian and White,1103,245,170
Black or African American and White,1103,810,200
American Indian or Alaska Native and Black or African American,1103,0,0
Remainder of Two or More Race Responses,1103,75,60
Hispanic or Latino,1103,9960,2470
Total,1105,9295,7245
Not Hispanic or Latino,1105,9185,7185
American Indian or Alaska Native Alone,1105,4,4
Asian Alone,1105,10,0
Black or African American Alone,1105,6445,4835
Native Hawaiian or Other Pacific Islander Alone,1105,0,0
White Alone,1105,2725,2345
American Indian or Alaska Native and White,1105,0,0
Asian and White,1105,0,0
Black or African American and White,1105,0,0
American Indian or Alaska Native and Black or African American,1105,0,0
Remainder of Two or More Race Responses,1105,0,0
Hispanic or Latino,1105,110,60
Total,1107,20245,15590
Not Hispanic or Latino,1107,19260,15320
American Indian or Alaska Native Alone,1107,30,30
Asian Alone,1107,10,10
Black or African American Alone,1107,8070,6170
Native Hawaiian or Other Pacific Islander Alone,1107,10,10
White Alone,1107,10870,8925
American Indian or Alaska Native and White,1107,60,60
Asian and White,1107,10,10
Black or African American and White,1107,195,100
American Indian or Alaska Native and Black or African American,1107,0,0
Remainder of Two or More Race Responses,1107,4,4
Hispanic or Latino,1107,985,275
Total,1109,33335,25835
Not Hispanic or Latino,1109,32585,25460
American Indian or Alaska Native Alone,1109,190,130
Asian Alone,1109,735,165
Black or African American Alone,1109,12195,9605
Native Hawaiian or Other Pacific Islander Alone,1109,4,4
White Alone,1109,18690,15165
American Indian or Alaska Native and White,1109,175,140
Asian and White,1109,10,4
Black or African American and White,1109,505,175
American Indian or Alaska Native and Black or African American,1109,25,25
Remainder of Two or More Race Responses,1109,55,45
Hispanic or Latino,1109,750,375
Total,1111,22645,17635
Not Hispanic or Latino,1111,21980,17340
American Indian or Alaska Native Alone,1111,40,40
Asian Alone,1111,45,35
Black or African American Alone,1111,4455,3475
Native Hawaiian or Other Pacific Islander Alone,1111,0,0
White Alone,1111,17070,13705
American Indian or Alaska Native and White,1111,55,55
Asian and White,1111,20,20
Black or African American and White,1111,295,20
American Indian or Alaska Native and Black or African American,1111,0,0
Remainder of Two or More Race Responses,1111,0,0
Hispanic or Latino,1111,670,290
Total,1113,57950,42715
Not Hispanic or Latino,1113,54770,41345
American Indian or Alaska Native Alone,1113,155,155
Asian Alone,1113,505,355
Black or African American Alone,1113,25175,18785
Native Hawaiian or Other Pacific Islander Alone,1113,25,0
White Alone,1113,27075,21210
American Indian or Alaska Native and White,1113,335,265
Asian and White,1113,210,110
Black or African American and White,1113,635,170
American Indian or Alaska Native and Black or African American,1113,315,170
Remainder of Two or More Race Responses,1113,340,125
Hispanic or Latino,1113,3180,1370
